X-Axis	NPA w/ oil 20x (CRR) (SG) (Sub BG)
 9.54202E+02	-3.66328E+01
 9.57976E+02	-2.85332E+01
 9.61748E+02	 5.95264E+00
 9.65517E+02	 3.77866E+01
 9.69284E+02	 4.73081E+01
 9.73049E+02	 1.86523E+00
 9.76811E+02	-5.34487E+01
 9.80570E+02	-6.69170E+01
 9.84327E+02	-5.48452E+01
 9.88081E+02	-2.83530E+01
 9.91833E+02	 8.41992E+00
 9.95583E+02	 3.09351E+01
 9.99329E+02	 5.66934E+01
 1.00307E+03	 8.22783E+01
 1.00682E+03	 4.79692E+01
 1.01056E+03	-1.59126E+01
 1.01429E+03	-5.78066E+01
 1.01803E+03	-2.20176E+01
 1.02176E+03	 2.21016E+01
 1.02549E+03	 3.76582E+01
 1.02922E+03	 1.64863E+01
 1.03294E+03	-4.85420E+01
 1.03666E+03	-8.16685E+01
 1.04038E+03	-5.21563E+01
 1.04410E+03	 9.61816E+00
 1.04781E+03	 6.74893E+01
 1.05153E+03	 8.86309E+01
 1.05524E+03	 7.86519E+01
 1.05894E+03	 3.47129E+01
 1.06265E+03	 5.26660E+00
 1.06635E+03	-3.05581E+01
 1.07005E+03	-5.70889E+01
 1.07375E+03	-4.99731E+01
 1.07744E+03	-1.20259E+01
 1.08114E+03	 4.96353E+01
 1.08483E+03	 6.00479E+01
 1.08851E+03	 1.39966E+01
 1.09220E+03	-3.52520E+01
 1.09588E+03	-7.19180E+01
 1.09956E+03	-6.80576E+01
 1.10324E+03	-3.97925E+01
 1.10692E+03	 5.95459E+00
 1.11059E+03	 7.73682E+00
 1.11426E+03	 2.34766E+00
 1.11793E+03	 8.73877E+00
 1.12159E+03	 1.48330E+01
 1.12526E+03	 9.55908E+00
 1.12892E+03	 2.31274E+01
 1.13258E+03	 1.00281E+02
 1.13623E+03	 1.96494E+02
 1.13989E+03	 2.63950E+02
 1.14354E+03	 3.07066E+02
 1.14719E+03	 3.06107E+02
 1.15084E+03	 3.00118E+02
 1.15448E+03	 2.95772E+02
 1.15812E+03	 2.62595E+02
 1.16176E+03	 2.26366E+02
 1.16540E+03	 1.75202E+02
 1.16903E+03	 1.68276E+02
 1.17267E+03	 2.12792E+02
 1.17630E+03	 2.77435E+02
 1.17992E+03	 2.96778E+02
 1.18355E+03	 2.53118E+02
 1.18717E+03	 1.94844E+02
 1.19079E+03	 1.47596E+02
 1.19441E+03	 9.25093E+01
 1.19803E+03	 5.85063E+01
 1.20164E+03	 3.34570E+01
 1.20525E+03	 1.15693E+01
 1.20886E+03	-8.22217E+00
 1.21246E+03	-2.28711E+00
 1.21607E+03	 3.96724E+01
 1.21967E+03	 6.49648E+01
 1.22327E+03	 7.60449E+01
 1.22687E+03	 1.00171E+02
 1.23046E+03	 9.33130E+01
 1.23405E+03	 5.18809E+01
 1.23764E+03	 9.21094E+00
 1.24123E+03	 1.17676E+01
 1.24482E+03	 5.71328E+01
 1.24840E+03	 1.16525E+02
 1.25198E+03	 1.76090E+02
 1.25556E+03	 2.16165E+02
 1.25913E+03	 1.95878E+02
 1.26271E+03	 1.66708E+02
 1.26628E+03	 1.46276E+02
 1.26985E+03	 1.45222E+02
 1.27341E+03	 1.47425E+02
 1.27698E+03	 1.12418E+02
 1.28054E+03	 5.88179E+01
 1.28410E+03	 5.03530E+01
 1.28766E+03	 4.04531E+01
 1.29121E+03	 1.92056E+01
 1.29476E+03	-9.56445E+00
 1.29831E+03	-2.65659E+01
 1.30186E+03	-3.09404E+01
 1.30541E+03	-2.28887E+01
 1.30895E+03	 2.69814E+01
 1.31249E+03	 5.61909E+01
 1.31603E+03	 3.93105E+01
 1.31957E+03	 1.24321E+01
 1.32310E+03	-1.31689E+01
 1.32663E+03	 5.23730E+00
 1.33016E+03	 2.50215E+01
 1.33369E+03	 9.13135E+00
 1.33722E+03	-3.41855E+01
 1.34074E+03	-7.52681E+01
 1.34426E+03	-7.18013E+01
 1.34778E+03	-1.71118E+01
 1.35129E+03	 5.99707E+01
 1.35481E+03	 1.19892E+02
 1.35832E+03	 1.36405E+02
 1.36183E+03	 1.23080E+02
 1.36534E+03	 8.60518E+01
 1.36884E+03	 6.12544E+01
 1.37234E+03	 3.28511E+01
 1.37584E+03	 7.02393E+00
 1.37934E+03	-5.90527E+00
 1.38284E+03	 5.16455E+00
 1.38633E+03	 2.80229E+01
 1.38982E+03	 2.33848E+01
 1.39331E+03	 1.21123E+01
 1.39680E+03	 1.30938E+01
 1.40028E+03	 8.19531E+00
 1.40376E+03	 1.93213E+00
 1.40724E+03	 6.12744E+00
 1.41072E+03	 6.26904E+00
 1.41420E+03	 4.26416E+00
 1.41767E+03	-3.48975E+00
 1.42114E+03	-1.73359E+01
 1.42461E+03	-4.22778E+01
 1.42808E+03	-7.18804E+01
 1.43154E+03	-6.22612E+01
 1.43500E+03	-2.60098E+01
 1.43846E+03	-1.20044E+01
 1.44192E+03	-1.40713E+01
 1.44537E+03	-5.10293E+01
 1.44883E+03	-7.95347E+01
 1.45228E+03	-5.64956E+01
 1.45573E+03	 9.20459E+00
 1.45917E+03	 9.75869E+01
 1.46262E+03	 1.18935E+02
 1.46606E+03	 8.16895E+01
 1.46950E+03	 3.67964E+01
 1.47294E+03	 1.60132E+01
 1.47637E+03	 3.38501E+01
 1.47981E+03	 7.35176E+01
 1.48324E+03	 1.42812E+02
 1.48667E+03	 1.94837E+02
 1.49009E+03	 2.29800E+02
 1.49352E+03	 2.80162E+02
 1.49694E+03	 3.20302E+02
 1.50036E+03	 3.16026E+02
 1.50378E+03	 2.94441E+02
