X-Axis	NPA w/ HMB-1 20x E30 (CRR) (Average 3) (Sub BG)
 2.03314E+03	-3.30627E+02
 2.03623E+03	-1.62869E+02
 2.03931E+03	-9.88672E+00
 2.04239E+03	 1.82139E+02
 2.04547E+03	 4.25090E+02
 2.04855E+03	 3.56443E+02
 2.05163E+03	 1.58939E+02
 2.05470E+03	 6.40371E+01
 2.05777E+03	-5.33555E+01
 2.06084E+03	-1.86732E+02
 2.06391E+03	-1.75963E+02
 2.06698E+03	-6.60684E+01
 2.07004E+03	-4.81563E+01
 2.07310E+03	 5.70801E+01
 2.07617E+03	 2.39492E+02
 2.07923E+03	 1.35389E+02
 2.08228E+03	 1.58594E+00
 2.08534E+03	 1.60645E+01
 2.08839E+03	-1.25820E+02
 2.09144E+03	-2.59420E+02
 2.09449E+03	-2.72174E+02
 2.09754E+03	-3.05270E+02
 2.10059E+03	-1.79889E+02
 2.10363E+03	 5.10488E+01
 2.10667E+03	 1.85129E+02
 2.10972E+03	 3.73199E+02
 2.11275E+03	 5.80625E+02
 2.11579E+03	 5.91277E+02
 2.11883E+03	 5.23807E+02
 2.12186E+03	 5.73373E+02
 2.12489E+03	 7.05426E+02
 2.12792E+03	 7.48184E+02
 2.13095E+03	 5.20166E+02
 2.13397E+03	 2.24939E+02
 2.13700E+03	 1.49143E+02
 2.14002E+03	 3.17744E+02
 2.14304E+03	 6.16092E+02
 2.14606E+03	 7.19199E+02
 2.14908E+03	 6.50572E+02
 2.15209E+03	 5.54092E+02
 2.15511E+03	 2.04236E+02
 2.15812E+03	-1.70469E+02
 2.16113E+03	-1.64533E+02
 2.16413E+03	 1.77207E+01
 2.16714E+03	 6.18184E+01
 2.17014E+03	 1.07676E+02
 2.17315E+03	 2.02820E+02
 2.17615E+03	 6.92773E+00
 2.17915E+03	-1.98199E+02
 2.18214E+03	-5.17051E+01
 2.18514E+03	 1.08668E+02
 2.18813E+03	 7.91875E+01
 2.19112E+03	 1.65625E+01
 2.19411E+03	 1.45332E+01
 2.19710E+03	-5.50938E+01
 2.20009E+03	-1.02729E+02
 2.20307E+03	-4.10957E+01
 2.20605E+03	 4.23965E+01
 2.20903E+03	 1.30447E+02
 2.21201E+03	 1.55266E+02
 2.21499E+03	 6.64063E-02
 2.21796E+03	-1.86176E+02
 2.22094E+03	-1.40443E+02
 2.22391E+03	 1.03330E+02
 2.22688E+03	 2.89283E+02
 2.22985E+03	 2.50387E+02
 2.23281E+03	 1.48234E+02
 2.23578E+03	 1.23092E+02
 2.23874E+03	 6.07148E+01
 2.24170E+03	-4.55156E+01
 2.24466E+03	-1.56930E+02
 2.24762E+03	-1.94301E+02
 2.25058E+03	 2.40566E+01
 2.25353E+03	 3.38430E+02
 2.25648E+03	 3.69949E+02
 2.25943E+03	 1.09844E+02
 2.26238E+03	-3.83613E+01
 2.26533E+03	-4.03496E+01
 2.26827E+03	-1.18391E+02
 2.27122E+03	-3.09531E+01
 2.27416E+03	 2.57127E+02
 2.27710E+03	 2.85947E+02
 2.28004E+03	-5.06270E+01
 2.28297E+03	-2.87975E+02
 2.28591E+03	-1.38195E+02
 2.28884E+03	 1.50621E+02
 2.29177E+03	 2.80367E+02
 2.29470E+03	 2.08934E+02
 2.29763E+03	 9.04863E+01
 2.30055E+03	-4.00586E+00
 2.30348E+03	-1.19773E+02
 2.30640E+03	-1.56750E+02
 2.30932E+03	-1.12971E+02
 2.31224E+03	 1.57617E+01
 2.31516E+03	 1.83537E+02
 2.31807E+03	 1.57238E+02
 2.32099E+03	 6.28398E+01
 2.32390E+03	 9.70898E+01
 2.32681E+03	 1.13688E+02
 2.32972E+03	-1.17051E+01
 2.33262E+03	-9.28320E+01
 2.33553E+03	 2.28203E+01
 2.33843E+03	 1.20920E+02
 2.34133E+03	 1.20273E+01
 2.34423E+03	-1.49574E+02
 2.34713E+03	-1.19176E+02
 2.35003E+03	 1.60723E+01
 2.35292E+03	 1.32725E+02
 2.35581E+03	 1.99355E+02
 2.35871E+03	 1.18293E+02
 2.36160E+03	 2.23730E+01
 2.36448E+03	 3.34434E+01
 2.36737E+03	 1.66191E+01
 2.37025E+03	-1.82266E+01
 2.37314E+03	 7.80078E+00
 2.37602E+03	 4.33789E+00
 2.37890E+03	-3.98848E+01
 2.38177E+03	-3.93184E+01
 2.38465E+03	-7.32656E+01
 2.38752E+03	-3.75078E+01
 2.39040E+03	 8.05430E+01
 2.39327E+03	 9.20508E+01
 2.39614E+03	 3.47832E+01
 2.39900E+03	 1.28086E+01
 2.40187E+03	 5.77598E+01
 2.40473E+03	 7.33613E+01
 2.40760E+03	 3.57109E+01
 2.41046E+03	 3.86270E+01
 2.41332E+03	 5.94844E+01
 2.41617E+03	 1.15430E+00
 2.41903E+03	-9.34648E+01
 2.42188E+03	-8.47402E+01
