X-Axis	NPA w/ HMB-1 pos2 E30 (CRR) (SG) (Sub BG)
 2.24170E+03	 4.35225E+02
 2.24466E+03	 6.93699E+02
 2.24762E+03	 7.09926E+02
 2.25058E+03	 6.26668E+02
 2.25353E+03	 4.83297E+02
 2.25648E+03	 2.13436E+02
 2.25943E+03	 6.52090E+01
 2.26238E+03	 7.05078E+00
 2.26533E+03	-5.94277E+01
 2.26827E+03	-4.41738E+01
 2.27122E+03	 2.73203E+01
 2.27416E+03	 5.37754E+01
 2.27710E+03	 5.58496E+01
 2.28004E+03	 5.66406E+00
 2.28297E+03	 3.85391E+01
 2.28591E+03	 3.09434E+01
 2.28884E+03	 4.03965E+01
 2.29177E+03	 9.68867E+01
 2.29470E+03	 6.07480E+01
 2.29763E+03	-2.55156E+01
 2.30055E+03	-1.42109E+01
 2.30348E+03	-2.86758E+01
 2.30640E+03	-2.28203E+01
 2.30932E+03	-3.79063E+01
 2.31224E+03	-2.87852E+01
 2.31516E+03	 5.49023E+00
 2.31807E+03	-1.84932E+01
 2.32099E+03	 1.74746E+01
 2.32390E+03	 9.14043E+01
 2.32681E+03	 1.75244E+01
 2.32972E+03	-4.33975E+01
 2.33262E+03	-8.46201E+01
 2.33553E+03	-5.93311E+01
 2.33843E+03	 2.29355E+01
 2.34133E+03	 4.80918E+01
 2.34423E+03	 4.79561E+01
 2.34713E+03	 5.27461E+01
 2.35003E+03	 7.41777E+01
 2.35292E+03	 1.51955E+02
 2.35581E+03	 1.62354E+02
 2.35871E+03	 1.53405E+02
 2.36160E+03	 4.62754E+01
 2.36448E+03	-7.76338E+01
 2.36737E+03	-1.15907E+02
 2.37025E+03	-1.02475E+02
 2.37314E+03	-6.72842E+01
 2.37602E+03	 1.13037E+02
 2.37890E+03	 1.95825E+02
 2.38177E+03	 2.13290E+02
 2.38465E+03	 9.04092E+01
 2.38752E+03	-3.69160E+01
 2.39040E+03	-7.21865E+01
 2.39327E+03	-8.38584E+01
 2.39614E+03	-1.68301E+01
 2.39900E+03	 1.08965E+01
 2.40187E+03	 5.28008E+01
 2.40473E+03	 1.54088E+02
 2.40760E+03	 2.01810E+02
 2.41046E+03	 2.01427E+02
 2.41332E+03	 1.46734E+02
 2.41617E+03	 3.10391E+01
 2.41903E+03	-7.32598E+01
 2.42188E+03	-6.49951E+01
