X-Axis	NPA w/ HMB-1 (CRR) (SG) (Sub BG)
 1.59525E+03	 1.86260E+01
 1.59861E+03	 2.27358E+01
 1.60196E+03	 2.06001E+01
 1.60531E+03	 1.47612E+01
 1.60867E+03	 4.34375E+00
 1.61202E+03	 3.45068E+00
 1.61536E+03	 9.62549E+00
 1.61871E+03	 1.05479E+01
 1.62205E+03	 8.55859E+00
 1.62539E+03	 4.85352E-01
 1.62873E+03	-1.44971E+00
 1.63207E+03	-8.06738E+00
 1.63540E+03	-3.65723E-01
 1.63873E+03	 2.71875E+00
 1.64206E+03	 3.90771E+00
 1.64539E+03	 1.54102E+00
 1.64872E+03	-5.53174E+00
 1.65204E+03	-7.55615E+00
 1.65536E+03	 2.04492E+00
 1.65868E+03	 5.94385E+00
 1.66200E+03	 8.37207E+00
 1.66532E+03	-6.73828E-02
 1.66863E+03	-2.40332E+00
 1.67194E+03	-6.90723E+00
 1.67525E+03	-1.28711E+00
 1.67856E+03	 1.03970E+01
 1.68186E+03	 1.24272E+01
 1.68516E+03	 7.62988E+00
 1.68847E+03	 2.57275E+00
 1.69176E+03	-8.62549E+00
 1.69506E+03	-9.28711E+00
 1.69836E+03	-3.76904E+00
 1.70165E+03	 5.08887E+00
 1.70494E+03	 8.08398E+00
 1.70823E+03	 4.36523E-01
 1.71151E+03	-6.75537E+00
 1.71480E+03	-1.36460E+01
 1.71808E+03	-5.09277E+00
 1.72136E+03	 4.86768E+00
 1.72464E+03	 8.69434E+00
 1.72792E+03	 7.98828E+00
 1.73119E+03	 1.54150E+00
 1.73446E+03	 3.32178E+00
 1.73773E+03	 6.45557E+00
 1.74100E+03	 4.46680E+00
 1.74427E+03	-9.08691E-01
 1.74753E+03	-1.06772E+01
 1.75079E+03	-1.49702E+01
 1.75405E+03	-1.18691E+01
 1.75731E+03	 1.61426E+00
 1.76057E+03	 1.35063E+01
 1.76382E+03	 1.35059E+01
 1.76707E+03	 1.69443E+01
 1.77032E+03	 1.10293E+01
 1.77357E+03	 4.92041E+00
 1.77681E+03	 3.22949E+00
 1.78006E+03	 7.62695E-01
 1.78330E+03	-1.52637E+00
 1.78654E+03	-2.12207E+00
 1.78978E+03	-9.09668E-01
 1.79301E+03	 2.21240E+00
 1.79625E+03	-6.55664E+00
 1.79948E+03	-6.41748E+00
 1.80271E+03	-6.76318E+00
 1.80593E+03	-8.18799E+00
 1.80916E+03	-2.90430E+00
 1.81238E+03	 8.43750E-01
 1.81560E+03	 4.90479E+00
 1.81882E+03	 1.98750E+01
 1.82204E+03	 2.96313E+01
 1.82526E+03	 3.77920E+01
 1.82847E+03	 3.98354E+01
 1.83168E+03	 4.24189E+01
 1.83489E+03	 4.35063E+01
 1.83810E+03	 3.93604E+01
 1.84130E+03	 3.42935E+01
 1.84451E+03	 2.64858E+01
 1.84771E+03	 1.13828E+01
 1.85091E+03	 1.36670E+00
 1.85411E+03	-6.60498E+00
 1.85730E+03	-9.89307E+00
 1.86049E+03	-4.12939E+00
 1.86369E+03	 7.89209E+00
 1.86688E+03	 1.63657E+01
