X-Axis	bare NPA 10x (CRR) (SG) (Sub BG)
 1.05524E+03	 1.40933E+01
 1.05894E+03	-1.93994E+00
 1.06265E+03	-1.17026E+01
 1.06635E+03	-1.86602E+01
 1.07005E+03	-2.47954E+01
 1.07375E+03	-2.66558E+01
 1.07744E+03	-2.22236E+01
 1.08114E+03	-1.57808E+01
 1.08483E+03	-1.86802E+01
 1.08851E+03	-1.63042E+01
 1.09220E+03	-1.22788E+01
 1.09588E+03	-4.75098E+00
 1.09956E+03	 3.27393E+00
 1.10324E+03	 2.13179E+01
 1.10692E+03	 4.40024E+01
 1.11059E+03	 5.16641E+01
 1.11426E+03	 4.63022E+01
 1.11793E+03	 4.17085E+01
 1.12159E+03	 1.83799E+01
 1.12526E+03	-8.99902E+00
 1.12892E+03	-2.63286E+01
 1.13258E+03	-2.48232E+01
 1.13623E+03	-2.53511E+01
 1.13989E+03	-1.16152E+01
 1.14354E+03	 1.95400E+01
 1.14719E+03	 4.88149E+01
 1.15084E+03	 6.14946E+01
 1.15448E+03	 6.83379E+01
 1.15812E+03	 5.25249E+01
 1.16176E+03	 3.05977E+01
 1.16540E+03	 1.69541E+01
 1.16903E+03	 2.24536E+01
 1.17267E+03	 3.69790E+01
 1.17630E+03	 5.51826E+01
 1.17992E+03	 5.60386E+01
 1.18355E+03	 4.71636E+01
 1.18717E+03	 3.44873E+01
 1.19079E+03	 3.49028E+01
 1.19441E+03	 4.22886E+01
 1.19803E+03	 4.56250E+01
 1.20164E+03	 4.28198E+01
 1.20525E+03	 2.98076E+01
 1.20886E+03	 1.85630E+01
 1.21246E+03	 3.26367E+01
 1.21607E+03	 4.89844E+01
 1.21967E+03	 5.27573E+01
 1.22327E+03	 6.77363E+01
 1.22687E+03	 7.74248E+01
 1.23046E+03	 8.28750E+01
 1.23405E+03	 7.84111E+01
 1.23764E+03	 6.79673E+01
 1.24123E+03	 4.66816E+01
 1.24482E+03	 1.77485E+01
 1.24840E+03	 1.16226E+01
 1.25198E+03	 2.83848E+01
 1.25556E+03	 5.10601E+01
 1.25913E+03	 7.33960E+01
 1.26271E+03	 7.26738E+01
 1.26628E+03	 6.38213E+01
 1.26985E+03	 5.53496E+01
 1.27341E+03	 5.40176E+01
 1.27698E+03	 5.91729E+01
