X-Axis	NPA w/ oil 10x (CRR) (SG) (Sub BG)
 1.37934E+03	-4.97949E+00
 1.38284E+03	 3.82520E+00
 1.38633E+03	 2.76240E+01
 1.38982E+03	 2.70654E+01
 1.39331E+03	 9.90332E+00
 1.39680E+03	-1.28687E+01
 1.40028E+03	-3.39004E+01
 1.40376E+03	-3.41050E+01
 1.40724E+03	-2.09790E+01
 1.41072E+03	-8.29541E+00
 1.41420E+03	-4.71240E+00
 1.41767E+03	-2.85923E+01
 1.42114E+03	-3.98862E+01
 1.42461E+03	-3.08027E+01
 1.42808E+03	-1.51011E+01
 1.43154E+03	 1.82402E+01
 1.43500E+03	 4.88613E+01
 1.43846E+03	 5.60479E+01
 1.44192E+03	 5.07607E+01
 1.44537E+03	 2.62559E+01
 1.44883E+03	 1.19897E+01
 1.45228E+03	-3.80908E+00
 1.45573E+03	-5.28369E+00
 1.45917E+03	 1.35884E+01
 1.46262E+03	 9.40234E+00
 1.46606E+03	-5.80273E+00
 1.46950E+03	-1.23691E+01
 1.47294E+03	-2.13789E+01
 1.47637E+03	-2.62598E+01
 1.47981E+03	-1.94634E+01
 1.48324E+03	 4.37012E-01
 1.48667E+03	 2.56445E+00
 1.49009E+03	-2.64697E+00
 1.49352E+03	 1.29995E+01
 1.49694E+03	 2.69526E+01
 1.50036E+03	 1.50737E+01
 1.50378E+03	-1.98096E+00
 1.50720E+03	-1.49243E+01
 1.51061E+03	-3.34429E+01
 1.51402E+03	-3.30122E+01
 1.51743E+03	-1.06421E+01
 1.52084E+03	 1.03828E+01
 1.52424E+03	 1.34209E+01
 1.52764E+03	 2.89521E+01
 1.53105E+03	 5.99780E+01
 1.53444E+03	 7.53022E+01
 1.53784E+03	 9.16338E+01
 1.54123E+03	 1.03351E+02
 1.54463E+03	 1.03851E+02
 1.54802E+03	 1.04091E+02
 1.55140E+03	 1.08658E+02
 1.55479E+03	 1.18219E+02
 1.55817E+03	 1.23921E+02
 1.56155E+03	 1.32419E+02
 1.56493E+03	 1.42237E+02
 1.56831E+03	 1.52446E+02
 1.57168E+03	 1.61091E+02
 1.57506E+03	 1.39654E+02
 1.57843E+03	 1.10062E+02
 1.58180E+03	 7.90776E+01
 1.58516E+03	 4.87153E+01
 1.58853E+03	 2.90957E+01
 1.59189E+03	 2.42681E+01
 1.59525E+03	 2.36040E+01
 1.59861E+03	 1.60591E+01
 1.60196E+03	 9.22168E+00
 1.60531E+03	 6.59424E+00
 1.60867E+03	-5.76221E+00
 1.61202E+03	-7.23779E+00
 1.61536E+03	-1.04590E+00
 1.61871E+03	 1.00049E+00
 1.62205E+03	 4.06104E+00
 1.62539E+03	 7.60254E+00
 1.62873E+03	 2.61963E+00
 1.63207E+03	-3.92285E+00
 1.63540E+03	 8.55957E-01
 1.63873E+03	 1.96191E+00
 1.64206E+03	-4.48633E+00
 1.64539E+03	-7.22266E+00
 1.64872E+03	-4.73828E+00
 1.65204E+03	 2.82520E+00
 1.65536E+03	 7.05029E+00
 1.65868E+03	 2.62109E+00
 1.66200E+03	-2.60742E-01
 1.66532E+03	-6.68262E+00
 1.66863E+03	-1.35889E+00
 1.67194E+03	 2.28369E+00
 1.67525E+03	 3.91650E+00
 1.67856E+03	 5.17285E+00
 1.68186E+03	 2.52002E+00
 1.68516E+03	 1.59619E+00
 1.68847E+03	-5.36963E+00
 1.69176E+03	-7.97607E+00
 1.69506E+03	-5.81738E+00
 1.69836E+03	 9.52148E-01
 1.70165E+03	 9.89355E+00
 1.70494E+03	 7.42529E+00
 1.70823E+03	 3.01025E+00
 1.71151E+03	-2.61230E+00
 1.71480E+03	-5.46094E+00
 1.71808E+03	 4.63867E-01
 1.72136E+03	-5.44434E-01
 1.72464E+03	-2.35840E+00
 1.72792E+03	-4.61865E+00
 1.73119E+03	-5.69678E+00
 1.73446E+03	 2.12354E+00
 1.73773E+03	 7.24463E+00
 1.74100E+03	 6.95801E+00
 1.74427E+03	 1.86279E+00
 1.74753E+03	-6.19775E+00
 1.75079E+03	-1.27056E+01
 1.75405E+03	-1.34131E+01
 1.75731E+03	-4.66992E+00
 1.76057E+03	 7.89111E+00
 1.76382E+03	 1.78257E+01
 1.76707E+03	 2.08921E+01
 1.77032E+03	 9.62354E+00
 1.77357E+03	-3.65430E+00
 1.77681E+03	-8.62305E+00
 1.78006E+03	-1.97754E+00
 1.78330E+03	 4.57031E+00
 1.78654E+03	 2.47559E+00
 1.78978E+03	 1.64453E+00
 1.79301E+03	-1.59277E+00
 1.79625E+03	-4.63379E+00
 1.79948E+03	-1.23242E+00
 1.80271E+03	-3.33545E+00
 1.80593E+03	-1.50928E+00
 1.80916E+03	 3.78125E+00
 1.81238E+03	 1.62661E+01
 1.81560E+03	 2.26260E+01
 1.81882E+03	 1.48330E+01
 1.82204E+03	-1.80664E-02
 1.82526E+03	-8.52393E+00
 1.82847E+03	-8.46045E+00
 1.83168E+03	-7.73926E-01
 1.83489E+03	 6.99756E+00
 1.83810E+03	 1.19277E+01
 1.84130E+03	 9.50928E+00
 1.84451E+03	 5.20605E+00
 1.84771E+03	-2.34375E-02
 1.85091E+03	 2.20215E-01
 1.85411E+03	-1.37695E+00
 1.85730E+03	 2.23291E+00
 1.86049E+03	 7.97949E+00
 1.86369E+03	 1.14688E+01
 1.86688E+03	 1.30552E+01
 1.87006E+03	 8.34326E+00
 1.87325E+03	 6.37305E+00
 1.87643E+03	-1.65479E+00
 1.87961E+03	-7.20361E+00
 1.88279E+03	-3.05762E+00
 1.88597E+03	-1.46143E+00
 1.88915E+03	 7.27539E-02
 1.89232E+03	 2.31201E+00
 1.89549E+03	 3.42041E+00
 1.89866E+03	 6.15918E+00
 1.90183E+03	-7.61230E-01
 1.90500E+03	-2.05811E+00
 1.90816E+03	 1.17188E-01
 1.91132E+03	 2.67041E+00
 1.91448E+03	 4.53857E+00
 1.91764E+03	 4.73438E+00
 1.92080E+03	 2.48486E+00
 1.92395E+03	-3.12988E-01
 1.92710E+03	-1.55908E+00
 1.93025E+03	 5.28076E+00
 1.93340E+03	 1.05845E+01
 1.93655E+03	 1.26841E+01
 1.93969E+03	 1.32832E+01
 1.94284E+03	 1.21782E+01
 1.94598E+03	 8.15088E+00
 1.94912E+03	 2.34863E+00
 1.95225E+03	-5.86914E-01
 1.95539E+03	-4.66064E+00
 1.95852E+03	-5.42334E+00
 1.96165E+03	-1.59912E+00
 1.96478E+03	 9.88281E-01
 1.96791E+03	 6.24512E+00
 1.97103E+03	 1.09097E+01
 1.97416E+03	 1.28350E+01
 1.97728E+03	 8.94922E+00
 1.98040E+03	-8.95508E-01
 1.98352E+03	-6.22070E+00
 1.98663E+03	-5.39990E+00
 1.98975E+03	 9.34082E-01
 1.99286E+03	 6.93750E+00
 1.99597E+03	 4.95703E+00
 1.99908E+03	-1.88574E+00
 2.00218E+03	-8.68994E+00
 2.00529E+03	-4.43115E+00
 2.00839E+03	 5.23584E+00
 2.01149E+03	 1.34683E+01
 2.01459E+03	 9.42871E+00
 2.01769E+03	 9.67773E-01
 2.02078E+03	-3.51563E+00
 2.02387E+03	-5.40527E+00
 2.02696E+03	-2.78369E+00
 2.03005E+03	 7.08496E-01
 2.03314E+03	 2.20020E+00
 2.03623E+03	 1.64258E+00
 2.03931E+03	 3.24658E+00
 2.04239E+03	 7.17578E+00
 2.04547E+03	 6.25684E+00
 2.04855E+03	 5.91992E+00
 2.05163E+03	 8.45605E+00
 2.05470E+03	 4.33691E+00
 2.05777E+03	-1.19873E+00
 2.06084E+03	-3.94824E+00
 2.06391E+03	-2.36963E+00
 2.06698E+03	-1.29346E+00
 2.07004E+03	 1.29541E+00
 2.07310E+03	 4.20020E+00
 2.07617E+03	 2.87061E+00
 2.07923E+03	 1.84473E+00
 2.08228E+03	 3.20313E-01
 2.08534E+03	 2.40234E+00
 2.08839E+03	 1.18457E+00
 2.09144E+03	-2.13379E-01
 2.09449E+03	-1.20410E+00
 2.09754E+03	-2.78076E+00
 2.10059E+03	-1.82666E+00
 2.10363E+03	-2.70654E+00
 2.10667E+03	-1.78516E+00
 2.10972E+03	 5.37988E+00
 2.11275E+03	 5.09424E+00
 2.11579E+03	 4.32617E+00
 2.11883E+03	 2.35059E+00
 2.12186E+03	-3.51758E+00
 2.12489E+03	-3.83447E+00
 2.12792E+03	-3.18896E+00
 2.13095E+03	 1.06885E+00
 2.13397E+03	 1.07178E+00
 2.13700E+03	-2.87744E+00
 2.14002E+03	-1.81982E+00
 2.14304E+03	 4.20752E+00
 2.14606E+03	 1.19370E+01
 2.14908E+03	 1.96655E+01
 2.15209E+03	 1.43848E+01
 2.15511E+03	 9.16504E+00
 2.15812E+03	 6.51758E+00
 2.16113E+03	 6.35889E+00
 2.16413E+03	 9.76563E+00
 2.16714E+03	 8.63525E+00
 2.17014E+03	 1.10449E+00
 2.17315E+03	-4.19580E+00
 2.17615E+03	-6.57959E+00
 2.17915E+03	 7.53418E-01
 2.18214E+03	 5.80957E+00
