X-Axis	NPA w/ HMB-1 20x (CRR) (SG) (Sub BG)
 9.69284E+02	 4.43452E+01
 9.73049E+02	 3.82642E+01
 9.76811E+02	 2.34326E+01
 9.80570E+02	 5.15137E-01
 9.84327E+02	 2.83506E+01
 9.88081E+02	 7.55776E+01
 9.91833E+02	 9.72578E+01
 9.95583E+02	 8.66455E+01
 9.99329E+02	 6.59248E+01
 1.00307E+03	 4.43545E+01
 1.00682E+03	 2.06587E+01
 1.01056E+03	 1.79224E+01
 1.01429E+03	 3.57886E+01
 1.01803E+03	 3.82363E+01
 1.02176E+03	 3.03359E+01
 1.02549E+03	 6.33105E+00
 1.02922E+03	-2.36934E+01
 1.03294E+03	-4.46958E+01
 1.03666E+03	-4.39097E+01
 1.04038E+03	-4.74951E+00
 1.04410E+03	 4.53130E+01
 1.04781E+03	 6.79321E+01
 1.05153E+03	 4.71045E+01
 1.05524E+03	 8.78271E+00
 1.05894E+03	-1.59395E+01
 1.06265E+03	-1.89844E+01
 1.06635E+03	-2.02080E+01
 1.07005E+03	-1.41191E+01
 1.07375E+03	-2.68877E+01
 1.07744E+03	-2.40459E+01
 1.08114E+03	 6.08008E+00
 1.08483E+03	 2.88369E+01
 1.08851E+03	 2.74546E+01
 1.09220E+03	 1.24844E+01
 1.09588E+03	-4.42627E+00
 1.09956E+03	-9.04492E+00
 1.10324E+03	-1.81133E+01
 1.10692E+03	-1.01128E+01
 1.11059E+03	-1.74414E+00
 1.11426E+03	 4.13184E+00
 1.11793E+03	 8.30225E+00
 1.12159E+03	 2.24609E-02
 1.12526E+03	-2.16611E+01
 1.12892E+03	-5.12617E+01
 1.13258E+03	-4.32046E+01
 1.13623E+03	-5.44287E+00
 1.13989E+03	 1.47295E+01
 1.14354E+03	 1.68389E+01
 1.14719E+03	 1.05005E+01
 1.15084E+03	 1.89141E+01
 1.15448E+03	 2.31782E+01
 1.15812E+03	 1.30078E+01
 1.16176E+03	 6.13135E+00
 1.16540E+03	-1.75288E+01
 1.16903E+03	-2.60098E+01
 1.17267E+03	-1.94434E+00
 1.17630E+03	 2.88682E+01
 1.17992E+03	 4.67583E+01
 1.18355E+03	 4.36372E+01
 1.18717E+03	 4.61846E+01
 1.19079E+03	 3.35815E+01
 1.19441E+03	-5.23926E-01
 1.19803E+03	-1.47637E+01
 1.20164E+03	-2.02285E+01
 1.20525E+03	-1.60308E+01
 1.20886E+03	-5.14453E+00
 1.21246E+03	-2.94629E+00
 1.21607E+03	-1.29297E+01
 1.21967E+03	-3.18315E+01
 1.22327E+03	-2.46548E+01
 1.22687E+03	 1.37134E+01
 1.23046E+03	 3.16245E+01
 1.23405E+03	 3.00786E+01
 1.23764E+03	 1.06123E+01
 1.24123E+03	-1.05933E+01
 1.24482E+03	-2.03447E+01
 1.24840E+03	-1.02222E+01
 1.25198E+03	 2.27607E+01
 1.25556E+03	 4.37852E+01
 1.25913E+03	 2.11733E+01
 1.26271E+03	 6.85547E+00
 1.26628E+03	 1.43906E+01
 1.26985E+03	 1.56846E+01
 1.27341E+03	 2.12485E+01
 1.27698E+03	 3.04336E+01
 1.28054E+03	 3.55752E+01
 1.28410E+03	 3.10615E+01
 1.28766E+03	 1.02275E+01
 1.29121E+03	 3.67188E+00
 1.29476E+03	-1.83682E+01
 1.29831E+03	-3.29292E+01
 1.30186E+03	-8.31299E+00
 1.30541E+03	 1.09258E+01
 1.30895E+03	 2.21851E+01
 1.31249E+03	 1.19976E+01
 1.31603E+03	 1.12646E+00
 1.31957E+03	 7.43359E+00
 1.32310E+03	 8.84180E+00
 1.32663E+03	 7.44775E+00
 1.33016E+03	-1.44482E+00
 1.33369E+03	-1.94214E+01
 1.33722E+03	-2.09609E+01
 1.34074E+03	-9.84375E+00
 1.34426E+03	-7.20996E+00
 1.34778E+03	-8.18457E+00
 1.35129E+03	-5.59033E+00
 1.35481E+03	 1.62891E+00
 1.35832E+03	 1.95259E+01
 1.36183E+03	 2.92910E+01
 1.36534E+03	 3.08394E+01
 1.36884E+03	 1.26475E+01
 1.37234E+03	-9.68164E+00
 1.37584E+03	-1.05029E+01
 1.37934E+03	-1.25049E+01
 1.38284E+03	-1.01157E+01
 1.38633E+03	 9.65088E+00
 1.38982E+03	 2.21548E+01
 1.39331E+03	 2.05088E+01
 1.39680E+03	 4.30225E+00
 1.40028E+03	-6.62354E+00
 1.40376E+03	-3.30337E+01
 1.40724E+03	-4.91387E+01
 1.41072E+03	-4.19028E+01
 1.41420E+03	-1.30278E+01
 1.41767E+03	 1.10298E+01
 1.42114E+03	 3.21792E+01
 1.42461E+03	 3.78242E+01
 1.42808E+03	 1.51484E+01
 1.43154E+03	-1.12876E+01
 1.43500E+03	-1.29785E+00
 1.43846E+03	 2.70654E+00
 1.44192E+03	 7.14355E+00
 1.44537E+03	 3.42725E+00
