X-Axis	dried HMB-1 (CRR) (SG) (Sub BG)
 1.10324E+03	-2.27632E+01
 1.10692E+03	-1.92344E+01
 1.11059E+03	-7.78613E+00
 1.11426E+03	 7.56152E+00
 1.11793E+03	 5.99766E+01
 1.12159E+03	 1.10604E+02
 1.12526E+03	 1.38061E+02
 1.12892E+03	 1.30646E+02
 1.13258E+03	 1.51692E+02
 1.13623E+03	 2.00712E+02
 1.13989E+03	 2.57455E+02
 1.14354E+03	 3.27719E+02
 1.14719E+03	 3.97495E+02
 1.15084E+03	 4.11989E+02
 1.15448E+03	 3.77233E+02
 1.15812E+03	 3.21288E+02
 1.16176E+03	 2.48118E+02
 1.16540E+03	 1.70425E+02
 1.16903E+03	 1.33607E+02
 1.17267E+03	 1.39818E+02
 1.17630E+03	 1.63545E+02
 1.17992E+03	 1.56989E+02
 1.18355E+03	 1.40029E+02
 1.18717E+03	 1.16387E+02
 1.19079E+03	 6.91729E+01
 1.19441E+03	 4.21460E+01
 1.19803E+03	 3.91055E+01
 1.20164E+03	 4.32876E+01
 1.20525E+03	 3.49380E+01
 1.20886E+03	 9.32715E+00
 1.21246E+03	 7.81250E-03
 1.21607E+03	 1.24507E+01
 1.21967E+03	 1.64395E+01
 1.22327E+03	 3.24146E+01
 1.22687E+03	 5.34438E+01
 1.23046E+03	 2.40356E+01
 1.23405E+03	-1.99834E+01
 1.23764E+03	-4.61792E+01
 1.24123E+03	-4.17832E+01
 1.24482E+03	-3.12534E+01
 1.24840E+03	-3.75796E+01
 1.25198E+03	-1.65381E+01
 1.25556E+03	 1.68066E+01
 1.25913E+03	 2.86396E+01
 1.26271E+03	 4.64697E+01
 1.26628E+03	 4.10693E+01
 1.26985E+03	 9.67480E+00
 1.27341E+03	-2.32231E+01
 1.27698E+03	-2.38677E+01
 1.28054E+03	 1.41841E+01
 1.28410E+03	 4.38545E+01
 1.28766E+03	 3.05205E+01
 1.29121E+03	-5.01807E+00
 1.29476E+03	-2.12036E+01
 1.29831E+03	-3.00459E+01
 1.30186E+03	-1.40088E+00
 1.30541E+03	 2.51782E+01
 1.30895E+03	 3.74541E+01
 1.31249E+03	 1.78818E+01
 1.31603E+03	-4.31348E+00
 1.31957E+03	-1.14546E+01
 1.32310E+03	-3.83691E+00
 1.32663E+03	 7.32666E+00
 1.33016E+03	 6.14209E+00
 1.33369E+03	-2.42070E+01
 1.33722E+03	-5.17998E+01
 1.34074E+03	-4.36782E+01
 1.34426E+03	-1.63315E+01
 1.34778E+03	 1.99907E+01
 1.35129E+03	 5.62075E+01
 1.35481E+03	 8.09502E+01
 1.35832E+03	 8.49165E+01
 1.36183E+03	 8.33936E+01
 1.36534E+03	 6.47021E+01
 1.36884E+03	 3.45298E+01
 1.37234E+03	-7.49512E+00
 1.37584E+03	-2.55410E+01
 1.37934E+03	-2.31475E+01
 1.38284E+03	-1.25469E+01
 1.38633E+03	 1.46982E+01
 1.38982E+03	 3.04731E+01
 1.39331E+03	 2.56143E+01
 1.39680E+03	 3.68799E+00
 1.40028E+03	-2.87549E+01
 1.40376E+03	-5.94399E+01
 1.40724E+03	-7.16050E+01
 1.41072E+03	-5.78960E+01
 1.41420E+03	-2.10571E+01
 1.41767E+03	-2.18945E+00
 1.42114E+03	 2.14746E+01
 1.42461E+03	 3.48550E+01
 1.42808E+03	 3.06299E+01
 1.43154E+03	 2.83491E+01
 1.43500E+03	 3.93809E+01
 1.43846E+03	 4.30591E+01
 1.44192E+03	 5.00596E+01
 1.44537E+03	 2.77480E+01
 1.44883E+03	 6.71240E+00
 1.45228E+03	-1.36602E+01
 1.45573E+03	-8.94141E+00
 1.45917E+03	 1.46714E+01
 1.46262E+03	 2.62051E+01
 1.46606E+03	 4.09619E+01
 1.46950E+03	 6.80801E+01
 1.47294E+03	 7.50493E+01
 1.47637E+03	 9.36274E+01
 1.47981E+03	 1.08869E+02
 1.48324E+03	 1.13332E+02
 1.48667E+03	 9.92329E+01
 1.49009E+03	 7.59990E+01
 1.49352E+03	 5.12856E+01
 1.49694E+03	 1.92734E+01
 1.50036E+03	-1.82705E+01
 1.50378E+03	-2.18833E+01
 1.50720E+03	-9.38867E+00
 1.51061E+03	-7.92480E+00
 1.51402E+03	 7.13379E+00
 1.51743E+03	 5.38931E+01
 1.52084E+03	 1.00735E+02
 1.52424E+03	 1.48728E+02
 1.52764E+03	 2.06555E+02
 1.53105E+03	 2.42183E+02
 1.53444E+03	 2.07494E+02
 1.53784E+03	 1.75410E+02
 1.54123E+03	 1.63776E+02
 1.54463E+03	 1.49693E+02
 1.54802E+03	 1.49293E+02
 1.55140E+03	 1.70869E+02
 1.55479E+03	 1.85296E+02
 1.55817E+03	 1.85111E+02
 1.56155E+03	 1.90161E+02
 1.56493E+03	 1.87744E+02
 1.56831E+03	 1.58968E+02
 1.57168E+03	 1.34203E+02
 1.57506E+03	 1.21992E+02
 1.57843E+03	 1.17702E+02
 1.58180E+03	 1.22251E+02
 1.58516E+03	 1.06089E+02
 1.58853E+03	 8.23931E+01
 1.59189E+03	 6.81968E+01
 1.59525E+03	 4.72993E+01
 1.59861E+03	 3.15527E+01
 1.60196E+03	 1.63340E+01
 1.60531E+03	 5.83643E+00
 1.60867E+03	-1.01470E+01
 1.61202E+03	-3.97900E+00
 1.61536E+03	 3.38477E+00
 1.61871E+03	-1.16162E+00
 1.62205E+03	 1.49414E+00
 1.62539E+03	 1.65806E+01
 1.62873E+03	 7.07568E+00
 1.63207E+03	-7.62109E+00
 1.63540E+03	 1.27832E+00
 1.63873E+03	 6.34668E+00
 1.64206E+03	 1.09424E+00
 1.64539E+03	-3.44043E+00
 1.64872E+03	-4.93018E+00
 1.65204E+03	-1.36719E-01
 1.65536E+03	 7.95117E+00
 1.65868E+03	 8.15771E+00
 1.66200E+03	 5.41309E+00
 1.66532E+03	 3.74512E-01
 1.66863E+03	 3.17676E+00
 1.67194E+03	 2.71826E+00
 1.67525E+03	 1.26904E+00
 1.67856E+03	-2.10645E+00
 1.68186E+03	-1.21143E+01
 1.68516E+03	-1.55190E+01
 1.68847E+03	-1.09800E+01
 1.69176E+03	-4.01270E+00
 1.69506E+03	 2.38086E+00
 1.69836E+03	 2.02236E+01
 1.70165E+03	 2.43452E+01
 1.70494E+03	 8.49854E+00
 1.70823E+03	-1.07002E+01
 1.71151E+03	-1.83447E+01
 1.71480E+03	-1.77334E+01
 1.71808E+03	-1.01855E+00
 1.72136E+03	 1.04922E+01
 1.72464E+03	 1.18564E+01
 1.72792E+03	 2.68506E+00
 1.73119E+03	-1.08643E+00
 1.73446E+03	 7.43115E+00
 1.73773E+03	 1.14663E+01
 1.74100E+03	 5.52295E+00
 1.74427E+03	-6.08008E+00
 1.74753E+03	-1.75718E+01
 1.75079E+03	-1.55210E+01
 1.75405E+03	-6.18018E+00
 1.75731E+03	 1.17129E+01
 1.76057E+03	 1.94282E+01
 1.76382E+03	 1.76914E+01
 1.76707E+03	 9.34375E+00
 1.77032E+03	 5.88232E+00
 1.77357E+03	 5.60156E+00
 1.77681E+03	 6.95898E+00
 1.78006E+03	 7.31152E+00
 1.78330E+03	 7.06055E-01
 1.78654E+03	-1.25918E+01
 1.78978E+03	-1.07451E+01
 1.79301E+03	-2.74316E+00
 1.79625E+03	-3.75977E-02
 1.79948E+03	-2.10010E+00
 1.80271E+03	-8.66113E+00
