X-Axis	NPA w/ HMB-1 pos2 (CRR) (SG) (Sub BG)
 1.87006E+03	 1.38960E+01
 1.87325E+03	 1.02222E+01
 1.87643E+03	 3.61328E+00
 1.87961E+03	 1.22754E+00
 1.88279E+03	 6.51416E+00
 1.88597E+03	 1.27534E+01
 1.88915E+03	 1.13726E+01
 1.89232E+03	 3.21973E+00
 1.89549E+03	 1.35596E+00
 1.89866E+03	 2.07715E+00
 1.90183E+03	 3.95508E-01
 1.90500E+03	-9.90723E-01
 1.90816E+03	 7.51465E-01
 1.91132E+03	 2.83984E+00
 1.91448E+03	 4.97070E-01
 1.91764E+03	-3.09570E-01
 1.92080E+03	 2.33350E+00
 1.92395E+03	 6.89941E-01
 1.92710E+03	 3.06104E+00
 1.93025E+03	 7.93604E+00
 1.93340E+03	 1.02729E+01
 1.93655E+03	 7.75537E+00
 1.93969E+03	 7.23291E+00
 1.94284E+03	 7.69336E+00
 1.94598E+03	 4.91748E+00
 1.94912E+03	 1.84912E+00
 1.95225E+03	 3.45215E-01
 1.95539E+03	-5.01758E+00
 1.95852E+03	-7.54980E+00
 1.96165E+03	-4.01904E+00
 1.96478E+03	-3.09814E+00
 1.96791E+03	-7.80273E-01
 1.97103E+03	 5.14160E+00
 1.97416E+03	 7.73535E+00
 1.97728E+03	 5.29883E+00
 1.98040E+03	 4.58496E-01
 1.98352E+03	-2.06738E+00
 1.98663E+03	-1.85205E+00
 1.98975E+03	-2.61719E+00
 1.99286E+03	 6.93359E-01
 1.99597E+03	 1.00293E+00
 1.99908E+03	-1.66748E+00
 2.00218E+03	-5.38623E+00
 2.00529E+03	-2.43555E+00
 2.00839E+03	 5.16846E+00
 2.01149E+03	 1.20464E+01
 2.01459E+03	 1.03462E+01
 2.01769E+03	 2.45361E+00
 2.02078E+03	-1.95020E+00
 2.02387E+03	-1.49512E+00
 2.02696E+03	-1.91943E+00
 2.03005E+03	 3.96973E-01
 2.03314E+03	 2.51611E+00
 2.03623E+03	 1.89258E+00
 2.03931E+03	-9.77539E-01
 2.04239E+03	-4.03320E-01
 2.04547E+03	 3.66211E-02
 2.04855E+03	-4.80029E+00
 2.05163E+03	-2.00488E+00
 2.05470E+03	 3.07275E+00
 2.05777E+03	 4.68896E+00
 2.06084E+03	 2.06494E+00
 2.06391E+03	-4.23340E-01
 2.06698E+03	-3.90820E+00
 2.07004E+03	-6.13281E+00
 2.07310E+03	-3.33936E+00
 2.07617E+03	 3.48730E+00
 2.07923E+03	 8.22510E+00
 2.08228E+03	 1.06958E+01
 2.08534E+03	 6.67627E+00
 2.08839E+03	 2.12158E+00
 2.09144E+03	-2.31445E+00
 2.09449E+03	-4.69873E+00
 2.09754E+03	-4.59570E+00
 2.10059E+03	-2.16748E+00
 2.10363E+03	 3.11035E-01
 2.10667E+03	 4.38135E+00
 2.10972E+03	 1.10518E+01
 2.11275E+03	 1.35942E+01
 2.11579E+03	 1.08730E+01
 2.11883E+03	 9.58789E+00
 2.12186E+03	 3.71484E+00
 2.12489E+03	 3.96045E+00
 2.12792E+03	 7.95654E+00
 2.13095E+03	 1.18936E+01
 2.13397E+03	 1.11484E+01
 2.13700E+03	 7.95264E+00
 2.14002E+03	 4.48193E+00
 2.14304E+03	 9.05273E-01
 2.14606E+03	 2.11914E+00
 2.14908E+03	 7.31982E+00
 2.15209E+03	 6.42627E+00
 2.15511E+03	 1.46338E+00
 2.15812E+03	-8.12988E-01
 2.16113E+03	-2.01953E+00
 2.16413E+03	-1.31689E+00
 2.16714E+03	 3.57275E+00
 2.17014E+03	 3.53711E+00
 2.17315E+03	-2.05273E+00
 2.17615E+03	-4.70654E+00
 2.17915E+03	-4.67236E+00
 2.18214E+03	-1.09033E+00
 2.18514E+03	 2.92383E+00
 2.18813E+03	 7.72314E+00
 2.19112E+03	 5.53760E+00
 2.19411E+03	 4.44336E-01
 2.19710E+03	 1.08398E-01
 2.20009E+03	-2.51074E+00
 2.20307E+03	 1.07275E+00
 2.20605E+03	 6.95898E+00
 2.20903E+03	 1.28101E+01
 2.21201E+03	 7.84668E+00
 2.21499E+03	-1.37207E-01
 2.21796E+03	-3.21484E+00
 2.22094E+03	-5.73730E+00
 2.22391E+03	-4.14600E+00
 2.22688E+03	 3.34424E+00
 2.22985E+03	 5.73535E+00
 2.23281E+03	 7.09619E+00
 2.23578E+03	 4.82715E+00
 2.23874E+03	 3.10889E+00
 2.24170E+03	-2.66602E-01
 2.24466E+03	-2.91895E+00
 2.24762E+03	-1.91064E+00
 2.25058E+03	 2.70752E+00
 2.25353E+03	 6.99121E+00
 2.25648E+03	 7.55176E+00
 2.25943E+03	 2.77832E+00
 2.26238E+03	-2.09375E+00
 2.26533E+03	-3.63965E+00
 2.26827E+03	-2.07666E+00
 2.27122E+03	 8.13965E-01
 2.27416E+03	 2.82715E+00
 2.27710E+03	 1.49268E+00
 2.28004E+03	-8.60840E-01
 2.28297E+03	-6.04980E-01
 2.28591E+03	 1.35010E+00
 2.28884E+03	 2.22754E+00
 2.29177E+03	 4.96533E+00
 2.29470E+03	 3.42725E+00
 2.29763E+03	 1.25488E+00
 2.30055E+03	-2.81152E+00
 2.30348E+03	-3.17480E+00
 2.30640E+03	-7.28516E-01
 2.30932E+03	 7.76855E-01
